,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T
44,30.03.2024,RODADA 30,Sheffield Utd,Fulham,3,3,0,0,3,3,0.22,0.47,26%,74%,4,8,1,3,3,5,7,6,1,2,1,0,5,8,3,1,4,7,0,0,0,0,121,323,10,5,30,67,14,22,15,6
45,30.03.2024,RODADA 30,Tottenham,Luton,2,1,0,1,2,0,1.25,0.32,73%,27%,7,4,1,1,6,3,3,8,2,3,0,0,17,7,0,1,9,6,0,0,0,2,340,116,6,7,61,22,41,10,5,12
46,30.03.2024,RODADA 30,Newcastle,West Ham,4,3,1,2,3,1,1.46,0.77,62%,38%,12,6,4,3,8,3,5,5,1,2,0,1,6,7,1,3,5,5,0,0,0,1,271,160,10,10,55,31,26,18,4,8
47,17.03.2024,RODADA 29,West Ham,Aston Villa,1,1,1,0,0,1,1.11,0.14,37%,63%,9,4,3,2,6,2,5,9,4,2,3,2,5,11,2,2,5,3,0,0,0,0,157,317,8,9,44,48,27,20,5,11
48,16.03.2024,RODADA 29,Fulham,Tottenham,3,0,1,0,2,0,0.98,0.53,42%,58%,7,5,3,1,4,4,5,5,2,3,0,1,11,10,1,2,5,4,0,0,0,0,199,292,14,6,43,61,28,30,4,12
49,16.03.2024,RODADA 29,Burnley,Brentford,2,1,1,0,1,1,2.11,0.60,61%,39%,7,3,2,2,5,1,6,11,3,1,2,2,5,10,2,1,9,5,0,1,0,0,234,153,5,13,55,42,40,16,5,11
50,16.03.2024,RODADA 29,Luton,Nottingham,1,1,0,1,1,0,0.13,0.89,58%,42%,4,6,2,3,2,3,6,7,2,1,1,0,6,7,2,2,6,6,0,0,1,0,235,167,5,13,65,39,27,10,2,8
51,13.03.2024,RODADA 17,Bournemouth,Luton,4,3,0,3,4,0,0.86,1.50,61%,39%,11,4,3,3,8,1,3,3,6,2,0,0,14,6,0,3,3,3,0,0,0,1,237,161,8,10,63,40,43,12,9,22
52,11.03.2024,RODADA 28,Chelsea,Newcastle,3,2,1,1,2,1,0.62,0.43,42%,58%,7,5,4,1,3,4,3,5,0,1,1,2,7,13,0,3,6,1,0,0,1,0,190,253,16,9,22,64,9,27,8,4
53,10.03.2024,RODADA 28,Liverpool,Manchester City,1,1,0,1,1,0,0.46,1.35,53%,47%,7,7,1,4,6,3,5,7,0,4,5,1,10,8,3,1,2,4,0,0,0,1,310,265,12,7,74,63,20,32,9,3
54,10.03.2024,RODADA 28,Brighton,Nottingham,1,0,1,0,0,0,0.35,0.13,63%,37%,7,3,2,1,5,2,9,6,3,1,0,1,4,9,1,1,6,8,0,0,1,2,334,193,2,3,62,30,26,18,5,14
55,10.03.2024,RODADA 28,West Ham,Burnley,2,2,0,2,2,0,0.08,0.08,49%,51%,3,4,0,2,3,2,8,9,0,1,3,2,14,12,0,0,6,6,0,0,1,0,241,249,7,9,55,48,18,14,9,5
56,10.03.2024,RODADA 28,Aston Villa,Tottenham,0,4,0,0,0,4,0.54,0.03,31%,69%,5,1,0,0,5,1,9,9,2,1,3,1,9,10,0,0,6,8,0,0,0,1,137,314,12,12,27,70,15,30,9,4
57,09.03.2024,RODADA 28,Arsenal,Brentford,2,1,1,1,1,0,0.51,0.39,72%,28%,7,4,3,2,4,2,3,6,2,1,1,1,3,3,1,2,6,3,0,0,2,2,321,126,3,6,61,32,42,14,0,15
58,09.03.2024,RODADA 28,Bournemouth,Sheffield Utd,2,2,0,1,2,1,1.77,0.93,69%,31%,13,8,5,7,8,1,7,8,3,2,1,0,5,9,6,5,7,8,0,0,2,1,316,142,4,5,73,38,52,17,9,18
59,09.03.2024,RODADA 28,Crystal Palace,Luton,1,1,1,0,0,1,1.00,0.10,54%,46%,9,3,2,0,7,3,6,8,5,3,0,0,9,12,0,1,8,6,0,0,1,1,222,182,9,4,48,50,27,17,7,7
60,09.03.2024,RODADA 28,Wolverhampton,Fulham,2,1,0,0,2,1,0.03,1.01,56%,44%,1,8,0,3,1,5,3,5,1,3,2,0,11,4,3,0,3,3,0,0,1,0,280,220,4,11,54,41,22,18,8,5
61,09.03.2024,RODADA 28,Manchester Utd,Everton,2,0,2,0,0,0,2.19,1.17,53%,47%,9,11,5,2,4,9,6,6,2,5,2,1,8,6,2,3,5,7,0,0,0,2,225,183,5,8,31,49,17,26,9,6
62,04.03.2024,RODADA 27,Sheffield Utd,Arsenal,0,6,0,5,0,1,0.03,1.67,20%,80%,1,16,0,7,1,9,5,8,0,3,2,1,5,9,2,0,6,3,0,0,1,0,113,452,10,1,27,89,3,58,18,5
63,03.03.2024,RODADA 27,Manchester City,Manchester Utd,3,1,0,1,3,0,2.70,0.19,74%,26%,18,2,3,1,15,1,2,2,12,2,0,0,8,3,0,3,2,2,0,0,0,0,382,136,0,12,89,26,89,15,3,25
64,03.03.2024,RODADA 27,Burnley,Bournemouth,0,2,0,1,0,1,1.29,0.53,75%,25%,13,5,4,1,9,4,8,4,4,1,1,2,13,11,0,4,3,6,0,0,1,2,292,97,9,9,64,30,49,9,7,29
65,02.03.2024,RODADA 27,Luton,Aston Villa,2,3,0,2,2,1,0.06,1.42,44%,56%,3,10,0,6,3,4,8,6,1,6,1,0,1,8,4,0,6,8,0,0,1,2,183,243,5,5,43,33,18,19,7,11
66,02.03.2024,RODADA 27,Brentford,Chelsea,2,2,0,1,2,1,0.54,1.27,28%,72%,4,8,1,3,3,5,6,3,0,3,1,2,9,7,2,1,2,5,0,0,0,1,142,373,8,12,38,83,10,19,8,2
67,02.03.2024,RODADA 27,Everton,West Ham,1,3,0,0,1,3,1.10,0.37,56%,44%,5,5,2,1,3,4,3,6,2,3,0,0,13,10,1,2,6,5,0,0,0,0,247,193,5,12,59,54,30,21,10,18
68,02.03.2024,RODADA 27,Fulham,Brighton,3,0,2,0,1,0,0.20,0.13,29%,71%,4,4,3,1,1,3,5,9,0,0,1,1,6,8,1,1,11,6,0,0,0,1,151,377,9,8,43,63,16,22,4,8
69,02.03.2024,RODADA 27,Newcastle,Wolverhampton,3,0,2,0,1,0,1.55,0.27,37%,63%,8,5,4,0,4,5,4,5,1,3,0,2,10,10,0,2,5,2,0,0,0,0,190,310,10,4,42,50,15,38,6,4
