,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T
49,15.03.2024,RODADA 30,Palermo,Venezia,0,3,0,2,0,1,0.59,1.49,54%,46%,14,17,3,8,6,7,15,14,6,3,0,1,15,14,5,3,0,0,13,14,1,1,467,398,10,21,117,73,50,49,10,28
50,11.03.2024,RODADA 29,Sampdoria,Ascoli,2,1,0,1,2,0,1.54,1.16,62%,38%,16,12,6,2,8,8,31,18,7,3,3,2,16,19,1,4,0,0,14,27,3,3,422,260,21,12,116,102,46,27,16,28
51,10.03.2024,RODADA 29,Lecco,Palermo,0,1,0,1,0,0,1.09,0.83,56%,44%,17,7,3,4,9,1,11,17,7,3,0,2,38,18,3,3,0,0,16,6,1,0,438,369,15,18,115,88,68,32,12,25
52,10.03.2024,RODADA 29,Venezia,Bari,3,1,2,1,1,0,1.93,1.46,52%,48%,15,16,5,2,7,5,10,18,6,6,2,0,14,23,1,2,0,0,14,10,2,2,452,407,17,9,96,88,41,54,26,14
53,09.03.2024,RODADA 29,Catanzaro,Reggiana,0,1,0,1,0,0,0.43,0.33,66%,34%,16,5,5,2,7,2,19,13,7,2,2,0,13,15,1,5,0,0,17,8,2,1,635,340,12,10,157,68,69,22,8,31
54,09.03.2024,RODADA 29,Cremonese,Como,2,1,1,0,1,1,1.32,0.12,70%,30%,14,3,3,1,8,1,10,21,7,1,4,1,19,13,0,1,10,14,0,1,2,3,534,222,11,14,124,59,78,26,9,23
55,09.03.2024,RODADA 29,Pisa,Ternana,1,0,0,0,1,0,0.73,1.29,64%,36%,16,15,3,6,5,7,14,14,5,8,0,1,20,18,6,2,0,0,13,16,1,2,539,284,13,23,119,82,67,46,15,17
56,09.03.2024,RODADA 29,Cosenza,Cittadella,0,0,0,0,0,0,0.66,0.32,55%,45%,14,9,4,3,4,5,19,16,6,4,2,1,23,28,3,4,0,0,15,14,2,4,391,300,15,12,97,102,32,68,33,22
57,09.03.2024,RODADA 29,Modena,FeralpiSalo,2,3,1,2,1,1,1.23,1.13,55%,45%,21,14,6,5,8,4,18,13,7,5,0,2,22,11,2,4,0,0,17,14,3,2,405,342,14,12,111,83,57,23,6,20
58,09.03.2024,RODADA 29,Spezia,Sudtirol,2,1,1,1,1,0,0.20,0.79,37%,63%,12,9,4,2,4,6,17,10,5,6,1,1,14,19,1,2,0,0,17,12,2,4,301,515,11,18,92,126,54,36,18,26
59,08.03.2024,RODADA 29,Parma,Brescia,2,1,0,1,2,0,1.73,0.96,57%,43%,14,15,5,6,6,6,10,9,2,2,0,2,17,23,5,3,11,10,0,1,2,3,515,380,9,21,141,76,67,30,14,9
60,03.03.2024,RODADA 28,Modena,Cremonese,0,1,0,0,0,1,0.92,0.94,44%,56%,15,16,5,4,5,7,15,15,8,1,3,2,23,30,3,5,12,12,0,1,4,1,383,485,19,9,90,112,38,58,17,22
61,03.03.2024,RODADA 28,Ascoli,Reggiana,0,0,0,0,0,0,0.86,0.78,47%,53%,8,11,3,3,3,3,23,20,3,7,1,0,27,24,3,3,18,22,1,0,2,2,320,350,12,13,100,102,44,49,24,16
62,03.03.2024,RODADA 28,Bari,Spezia,1,1,0,0,1,1,0.45,0.49,56%,44%,11,10,3,4,5,3,16,11,5,8,1,0,18,21,3,2,0,0,10,17,3,3,461,354,16,20,77,98,46,38,17,11
63,03.03.2024,RODADA 28,Cittadella,Pisa,0,1,0,0,0,1,0.24,1.11,41%,59%,6,12,0,3,2,7,11,16,4,3,1,0,30,32,2,0,0,0,10,14,2,2,320,463,19,24,102,101,45,46,12,20
64,03.03.2024,RODADA 28,Como,Venezia,2,1,1,1,1,0,0.48,0.56,46%,54%,8,10,4,3,1,2,14,10,5,5,0,2,21,17,2,2,0,0,10,13,1,2,382,433,8,8,75,101,34,54,34,14
65,03.03.2024,RODADA 28,Cosenza,Catanzaro,0,2,0,1,0,1,0.98,1.50,46%,54%,13,6,2,4,8,2,7,25,8,1,1,2,13,7,2,2,4,24,1,0,6,1,381,473,13,9,92,50,51,23,9,27
66,03.03.2024,RODADA 28,FeralpiSalo,Sampdoria,1,3,0,2,1,1,0.88,1.48,52%,48%,11,8,4,4,4,2,22,8,5,2,0,3,18,19,1,3,0,0,19,8,1,6,448,418,11,16,120,79,47,27,5,24
67,02.03.2024,RODADA 28,Brescia,Palermo,4,2,4,2,0,0,1.14,1.45,60%,40%,16,15,7,7,5,6,18,10,5,5,2,0,17,13,5,3,15,11,0,1,3,3,505,332,18,11,82,77,43,30,18,16
68,02.03.2024,RODADA 28,Sudtirol,Lecco,1,0,0,0,1,0,0.78,0.18,69%,31%,14,7,2,0,8,4,18,15,10,4,1,1,19,23,0,1,0,0,17,13,4,3,529,226,19,21,124,68,58,34,16,26
69,02.03.2024,RODADA 28,Ternana,Parma,1,3,0,2,1,1,2.13,2.63,51%,49%,15,15,5,7,5,4,9,12,5,5,1,0,16,18,4,4,0,0,11,10,3,5,456,453,22,10,93,110,42,50,8,18
